,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.2854729023340945,,Intercept,311.9517171021209,312.0,0.04828289787911899,312.0
1,1,grade:A,1.1412219953427087,1.8316720989026184e-36,grade,88.99303848173307,89.0,0.006961518266933808,89.0
2,2,grade:B,0.8851339330914301,7.377225423887774e-48,grade,69.0231685776776,69.0,-0.023168577677594726,69.0
3,3,grade:C,0.6900679843468496,1.7789328304786416e-34,grade,53.81183234866532,54.0,0.18816765133468039,54.0
4,4,grade:D,0.5020344896597696,4.885203023325262e-21,grade,39.14889025954361,39.0,-0.148890259543613,39.0
5,5,grade:E,0.32660253298968756,4.525946224462647e-12,grade,25.468622148186373,25.0,-0.46862214818637327,25.0
6,6,grade:F,0.13683243432497344,0.005268127001870295,grade,10.670258848082213,11.0,0.3297411519177871,11.0
7,7,home_ownership:OWN,0.091908939151222,5.0272414862358045e-06,home_ownership,7.167103150902497,7.0,-0.16710315090249672,7.0
8,8,home_ownership:MORTGAGE,0.10606788519302511,4.969355191850191e-17,home_ownership,8.271224553312528,8.0,-0.27122455331252837,8.0
9,9,addr_state:NM_VA,0.028892792723794986,0.36681920803053425,addr_state,2.2530738324415807,2.0,-0.25307383244158066,2.0
10,10,addr_state:NY,0.051285316268413435,0.034328193024959944,addr_state,3.999253557019104,4.0,0.0007464429808958783,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.05348543915263335,0.020949305627351776,addr_state,4.170820194622446,4.0,-0.17082019462244613,4.0
12,12,addr_state:CA,0.057933554996398226,0.006315645471028266,addr_state,4.517686401259569,5.0,0.482313598740431,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07306235003828074,0.0033772332898553475,addr_state,5.697437093796994,6.0,0.30256290620300597,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13019976588317328,7.607317198952556e-09,addr_state,10.153040182225316,10.0,-0.15304018222531646,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.09441432206793601,0.0015576678052070941,addr_state,7.36247411223036,7.0,-0.36247411223035986,7.0
16,16,addr_state:GA_WA_OR,0.1801499711990733,1.4562595432269742e-11,addr_state,14.048181146901047,14.0,-0.048181146901047356,14.0
